MARKET_RUN_ID,OPR_DT,OPR_HR,DATA_ITEM,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,VALUE,GROUP
RTD,2022-08-17,13,RTM_SCHEDULE,2022-08-17T19:00:00-00:00,2022-08-17T20:00:00-00:00,12447.12,8
RTD,2022-08-17,19,RTM_SCHEDULE,2022-08-18T01:00:00-00:00,2022-08-18T02:00:00-00:00,5926.16,8
RTD,2022-08-17,12,RTM_SCHEDULE,2022-08-17T18:00:00-00:00,2022-08-17T19:00:00-00:00,11778.55,8
RTD,2022-08-17,1,RTM_SCHEDULE,2022-08-17T07:00:00-00:00,2022-08-17T08:00:00-00:00,1586.85,8
RTD,2022-08-17,4,RTM_SCHEDULE,2022-08-17T10:00:00-00:00,2022-08-17T11:00:00-00:00,1196.65,8
RTD,2022-08-17,5,RTM_SCHEDULE,2022-08-17T11:00:00-00:00,2022-08-17T12:00:00-00:00,1013.63,8
RTD,2022-08-17,18,RTM_SCHEDULE,2022-08-18T00:00:00-00:00,2022-08-18T01:00:00-00:00,9942.4,8
RTD,2022-08-17,20,RTM_SCHEDULE,2022-08-18T02:00:00-00:00,2022-08-18T03:00:00-00:00,3063.51,8
RTD,2022-08-17,22,RTM_SCHEDULE,2022-08-18T04:00:00-00:00,2022-08-18T05:00:00-00:00,3307.09,8
RTD,2022-08-17,3,RTM_SCHEDULE,2022-08-17T09:00:00-00:00,2022-08-17T10:00:00-00:00,1364.27,8
RTD,2022-08-17,7,RTM_SCHEDULE,2022-08-17T13:00:00-00:00,2022-08-17T14:00:00-00:00,1043.95,8
RTD,2022-08-17,9,RTM_SCHEDULE,2022-08-17T15:00:00-00:00,2022-08-17T16:00:00-00:00,8660.84,8
RTD,2022-08-17,14,RTM_SCHEDULE,2022-08-17T20:00:00-00:00,2022-08-17T21:00:00-00:00,11776.31,8
RTD,2022-08-17,2,RTM_SCHEDULE,2022-08-17T08:00:00-00:00,2022-08-17T09:00:00-00:00,1569.51,8
RTD,2022-08-17,6,RTM_SCHEDULE,2022-08-17T12:00:00-00:00,2022-08-17T13:00:00-00:00,900.44,8
RTD,2022-08-17,10,RTM_SCHEDULE,2022-08-17T16:00:00-00:00,2022-08-17T17:00:00-00:00,10504.16,8
RTD,2022-08-17,15,RTM_SCHEDULE,2022-08-17T21:00:00-00:00,2022-08-17T22:00:00-00:00,12023.37,8
DAM,2022-08-18,19,DAM_FORECAST,2022-08-19T01:00:00-00:00,2022-08-19T02:00:00-00:00,8255.68,9
DAM,2022-08-18,8,DAM_FORECAST,2022-08-18T14:00:00-00:00,2022-08-18T15:00:00-00:00,7189.63,9
DAM,2022-08-18,6,DAM_FORECAST,2022-08-18T12:00:00-00:00,2022-08-18T13:00:00-00:00,3000.41,9
DAM,2022-08-18,23,DAM_FORECAST,2022-08-19T05:00:00-00:00,2022-08-19T06:00:00-00:00,4274.08,9
DAM,2022-08-18,16,DAM_FORECAST,2022-08-18T22:00:00-00:00,2022-08-18T23:00:00-00:00,15000.16,9
DAM,2022-08-18,22,DAM_FORECAST,2022-08-19T04:00:00-00:00,2022-08-19T05:00:00-00:00,4212.85,9
DAM,2022-08-18,2,DAM_FORECAST,2022-08-18T08:00:00-00:00,2022-08-18T09:00:00-00:00,3758.8,9
DAM,2022-08-18,21,DAM_FORECAST,2022-08-19T03:00:00-00:00,2022-08-19T04:00:00-00:00,4183.93,9
DAM,2022-08-18,13,DAM_FORECAST,2022-08-18T19:00:00-00:00,2022-08-18T20:00:00-00:00,14114.4,9
DAM,2022-08-18,18,DAM_FORECAST,2022-08-19T00:00:00-00:00,2022-08-19T01:00:00-00:00,12953.7,9
DAM,2022-08-18,4,DAM_FORECAST,2022-08-18T10:00:00-00:00,2022-08-18T11:00:00-00:00,3411.18,9
DAM,2022-08-18,9,DAM_FORECAST,2022-08-18T15:00:00-00:00,2022-08-18T16:00:00-00:00,11236.1,9
